date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:50	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Sep%202019%2002:33:22%20GMT	http://micro.stanford.edu/robots.txt		(from )
10:32:50	8117/8117	---M-Z	200	added ('OK')	text/html	etag:%221fb5-571ae7d3607ae-gzip%22	http://micro.stanford.edu/~caiwei/Forum/	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/index.html	(from )
10:32:51	266/266	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202019%2002:33:24%20GMT	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum	(from http://micro.stanford.edu/~caiwei/Forum/)
10:32:52	1130/1130	---M-Z	200	added ('OK')	text/html	etag:%2246a-4d87d07ccdbfa-gzip%22	http://micro.stanford.edu/~caiwei/Forum/2004-08-08-MadSum/	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-08-08-MadSum/index.html	(from http://micro.stanford.edu/~caiwei/Forum/)
10:32:55	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202019%2002:33:27%20GMT	http://micro.stanford.edu/~caiwei/Forum/2004-12-12-MD++	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-12-12-MD++.3.delayed	(from http://micro.stanford.edu/~caiwei/Forum/)
10:32:56	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202019%2002:33:28%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-04-18-NSDD	(from http://micro.stanford.edu/~caiwei/Forum/)
10:32:57	183/183	---M-Z	200	added ('OK')	text/html	etag:%22b7-58cd0d5c0cc7a-gzip%22	http://micro.stanford.edu/~caiwei/Forum/2004-12-12-MD++/	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2004-12-12-MD++/index.html	(from http://micro.stanford.edu/~caiwei/Forum/)
10:32:58	265/265	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202019%2002:33:30%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-12-05-DDLab	(from http://micro.stanford.edu/~caiwei/Forum/)
10:32:59	1656/1656	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:33:31%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-04-18-NSDD/	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-04-18-NSDD/index.html	(from http://micro.stanford.edu/~caiwei/Forum/)
10:33:01	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202019%2002:33:32%20GMT	http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2006-05-03-VarCalc	(from http://micro.stanford.edu/~caiwei/Forum/)
10:33:03	2939/2939	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:33:34%20GMT	http://micro.stanford.edu/~caiwei/Forum/2005-12-05-DDLab/	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2005-12-05-DDLab/index.html	(from http://micro.stanford.edu/~caiwei/Forum/)
10:33:04	268/268	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Sep%202019%2002:33:36%20GMT	http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2008-07-18-Entangle	(from http://micro.stanford.edu/~caiwei/Forum/)
10:33:05	99692/99692	---M--	200	added ('OK')	application/pdf	etag:%221856c-4d87d0822201a%22	http://micro.stanford.edu/~caiwei/papers/Cai01prl-image.pdf	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/papers/Cai01prl-image.pdf	(from http://micro.stanford.edu/~caiwei/Forum/)
10:33:05	956/956	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:33:37%20GMT	http://micro.stanford.edu/~caiwei/Forum/2006-05-03-VarCalc/	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2006-05-03-VarCalc/index.html	(from http://micro.stanford.edu/~caiwei/Forum/)
10:33:06	1571/1571	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202019%2002:33:38%20GMT	http://micro.stanford.edu/~caiwei/Forum/2008-07-18-Entangle/	/home/zhangjiayong/websites/caiweiForum/micro.stanford.edu/_caiwei/Forum/2008-07-18-Entangle/index.html	(from http://micro.stanford.edu/~caiwei/Forum/)
